creator_id,market,language,category,followers,avg_views,engagement_rate,follower_growth_30d,videos_30d,campaign_participation_90d,response_rate,conversion_rate,last_active_days,views_per_follower,views_per_follower_pct,engagement_rate_pct,engagement_band,growth_rate_pct,growth_band,posting_frequency_score,recency_score,activity_score,campaign_participation_score,response_rate_pct,response_band,conversion_rate_pct,is_recently_inactive,is_high_engagement,is_high_growth,is_consistently_active,engagement_component,growth_component,activity_component,campaign_component,response_conversion_component,creator_growth_score,growth_score_band,priority_reason,is_high_growth_priority,is_growth_opportunity,needs_reactivation
creator_001,Italy,Italian,Lifestyle,37098,52735,0.0879,0.1947,27,4,0.8449,0.0171,1,1.4215052024367891,142.15052024367893,8.790000000000001,High,19.47,High Growth,90.0,97.77777777777776,93.11111111111111,33.33333333333333,84.49,High,1.71,False,True,True,True,55.64285714285716,84.2,93.11111111111111,33.33333333333333,51.019230769230774,66.47,Growth Potential,High engagement and strong recent growth,False,True,False
creator_002,France,French,Fashion,98850,316721,0.122,0.1544,17,10,0.8445,0.0676,0,3.20405665149216,320.40566514921596,12.2,Very High,15.44,High Growth,56.666666666666664,100.0,74.0,83.33333333333334,84.45,High,6.76,False,True,True,True,80.0,72.6857142857143,74.0,83.33333333333334,83.36538461538461,77.81,Growth Potential,High engagement and strong recent growth,False,True,False
creator_003,UK,English,Lifestyle,5594,18216,0.0951,0.198,11,0,0.7134,0.0351,2,3.256346085091169,325.6346085091169,9.51,Very High,19.8,High Growth,36.666666666666664,95.55555555555556,60.222222222222214,0.0,71.34,High,3.51,False,True,True,True,60.7857142857143,85.14285714285717,60.222222222222214,0.0,54.12820512820514,56.98,Developing,High engagement and strong recent growth,False,False,False
creator_004,Spain,Spanish,Food,40722,65661,0.0885,0.0279,16,3,0.8232,0.027,5,1.6124208044791513,161.24208044791513,8.85,High,2.79,Stable,53.333333333333336,88.88888888888889,67.55555555555556,25.0,82.32000000000001,High,2.7,False,True,False,True,56.07142857142857,36.54285714285715,67.55555555555556,25.0,55.974358974358964,48.82,Developing,Consistent activity with moderate growth,False,False,False
creator_005,Italy,Italian,Fashion,106327,131500,0.0932,0.0568,17,4,0.7754,0.0445,5,1.2367507782595202,123.67507782595202,9.32,Very High,5.680000000000001,Growing,56.666666666666664,88.88888888888889,69.55555555555556,33.33333333333333,77.53999999999999,High,4.45,False,True,False,True,59.428571428571445,44.800000000000004,69.55555555555556,33.33333333333333,64.12820512820512,54.35,Developing,Consistent activity with moderate growth,False,False,False
creator_006,Germany,German,Technology,187187,180989,0.0706,0.0509,10,5,0.7781,0.0116,6,0.966888726247015,96.6888726247015,7.06,High,5.09,Growing,33.33333333333333,86.66666666666667,54.66666666666667,41.66666666666667,77.81,High,1.16,False,True,False,True,43.28571428571429,43.114285714285714,54.66666666666667,41.66666666666667,43.21153846153846,45.27,Developing,Consistent activity with moderate growth,False,False,False
creator_007,Netherlands,Dutch,Fashion,187467,180391,0.0528,0.0668,8,2,0.8198,0.0334,6,0.9622546901588012,96.22546901588012,5.28,Medium,6.68,Growing,26.666666666666668,86.66666666666667,50.66666666666667,16.666666666666664,81.98,High,3.34,False,False,False,True,30.571428571428573,47.65714285714286,50.66666666666667,16.666666666666664,59.85897435897435,39.7,Low Priority,Consistent activity with moderate growth,False,False,False
creator_008,UK,English,Technology,82990,48408,0.0291,-0.0351,2,1,0.2786,0.0052,44,0.5832991926738161,58.32991926738161,2.91,Low,-3.51,Declining,6.666666666666667,2.2222222222222254,4.88888888888889,8.333333333333332,27.860000000000003,Low,0.52,True,False,False,False,13.642857142857142,18.542857142857148,4.88888888888889,8.333333333333332,7.089743589743589,11.67,Low Priority,Declining growth requires closer monitoring,False,False,False
creator_009,Germany,German,Food,112700,81252,0.0549,0.0897,10,5,0.6721,0.0317,1,0.720958296362023,72.0958296362023,5.489999999999999,Medium,8.97,Growing,33.33333333333333,97.77777777777776,59.111111111111114,41.66666666666667,67.21000000000001,Medium,3.17,False,False,False,True,32.07142857142857,54.2,59.111111111111114,41.66666666666667,49.30128205128205,46.17,Developing,Consistent activity with moderate growth,False,False,False
creator_010,UK,English,Food,24653,45080,0.0562,0.0496,15,5,0.5631,0.0248,0,1.8285807001176329,182.8580700117633,5.62,Medium,4.96,Growing,50.0,100.0,70.0,41.66666666666667,56.31,Medium,2.48,False,False,False,True,33.0,42.74285714285715,70.0,41.66666666666667,37.89102564102565,44.62,Developing,Consistent activity with moderate growth,False,False,False
