creator_id,market,language,category,creator_growth_score,score_band,primary_segment,segment_reason,secondary_opportunity,is_high_growth_priority,is_growth_opportunity,needs_reactivation,is_high_engagement,is_high_growth,is_consistently_active,activity_score,campaign_participation_score,response_rate_pct,conversion_rate_pct,last_active_days
creator_001,Italy,Italian,Lifestyle,66.47,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,93.11111111111111,33.33333333333333,84.49,1.71,1
creator_002,France,French,Fashion,77.81,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,74.0,83.33333333333334,84.45,6.76,0
creator_003,UK,English,Lifestyle,56.98,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,60.222222222222214,0.0,71.34,3.51,2
creator_004,Spain,Spanish,Food,48.82,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,67.55555555555556,25.0,82.32000000000001,2.7,5
creator_005,Italy,Italian,Fashion,54.35,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,69.55555555555556,33.33333333333333,77.53999999999999,4.45,5
creator_006,Germany,German,Technology,45.27,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,54.66666666666667,41.66666666666667,77.81,1.16,6
creator_007,Netherlands,Dutch,Fashion,39.7,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,50.66666666666667,16.666666666666664,81.98,3.34,6
creator_008,UK,English,Technology,11.67,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,4.88888888888889,8.333333333333332,27.860000000000003,0.52,44
creator_009,Germany,German,Food,46.17,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,59.111111111111114,41.66666666666667,67.21000000000001,3.17,1
creator_010,UK,English,Food,44.62,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,70.0,41.66666666666667,56.31,2.48,0
creator_011,UK,English,Lifestyle,19.11,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,42.66666666666667,0.0,67.69,2.65,15
creator_012,Spain,Spanish,Beauty,64.75,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,90.44444444444446,8.333333333333332,61.57,6.34,4
creator_013,Netherlands,Dutch,Food,17.41,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,29.77777777777778,16.666666666666664,31.97,0.8699999999999999,25
creator_014,UK,English,Beauty,64.85,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Campaign Activation,False,True,False,True,False,True,82.44444444444446,33.33333333333333,62.1,4.6899999999999995,4
creator_015,UK,English,Technology,42.75,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,69.77777777777777,50.0,61.8,3.66,7
creator_016,UK,English,Food,54.96,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,60.0,41.66666666666667,82.14,2.6,0
creator_017,UK,English,Technology,34.76,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,64.44444444444444,75.0,42.15,1.29,13
creator_018,UK,English,Fitness,73.98,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,95.33333333333334,41.66666666666667,97.32,1.69,3
creator_019,Spain,Spanish,Fashion,65.06,Growth Potential,Growth Opportunity,Good overall potential with room to strengthen operational signals.,Community Nurturing,False,True,False,True,False,True,69.11111111111111,58.333333333333336,80.27,7.180000000000001,1
creator_020,Poland,Polish,Beauty,53.32,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,51.77777777777778,58.333333333333336,83.19,1.17,7
creator_021,Poland,Polish,Fashion,16.81,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,34.66666666666667,16.666666666666664,41.15,2.88,24
creator_022,France,French,Fashion,36.15,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,55.77777777777778,58.333333333333336,32.86,1.54,16
creator_023,France,French,Food,66.74,Growth Potential,Growth Opportunity,Good overall potential with room to strengthen operational signals.,Community Nurturing,False,True,False,True,False,True,61.333333333333336,50.0,78.32000000000001,7.62,3
creator_024,UK,English,Technology,65.72,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,72.44444444444446,50.0,87.1,3.54,4
creator_025,Italy,Italian,Lifestyle,30.51,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,58.888888888888886,25.0,33.660000000000004,0.69,8
creator_026,Germany,German,Fashion,70.99,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,94.0,58.333333333333336,85.19,7.920000000000001,0
creator_027,France,French,Beauty,25.13,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,4.444444444444446,16.666666666666664,50.43,0.83,40
creator_028,Germany,German,Lifestyle,44.0,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,78.44444444444446,8.333333333333332,49.15,2.04,4
creator_029,Germany,German,Lifestyle,78.49,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,84.22222222222223,91.66666666666666,65.32,1.99,2
creator_030,Poland,Polish,Fashion,44.9,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,79.55555555555554,58.333333333333336,88.75,0.74,5
creator_031,Germany,German,Food,69.49,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,66.22222222222221,50.0,93.53,7.85,2
creator_032,UK,English,Lifestyle,50.08,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,79.11111111111111,16.666666666666664,57.010000000000005,3.28,1
creator_033,UK,English,Fashion,61.01,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,68.22222222222223,8.333333333333332,56.02,2.35,2
creator_034,UK,English,Lifestyle,47.45,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,78.44444444444446,41.66666666666667,59.9,0.69,4
creator_035,Netherlands,Dutch,Beauty,37.46,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,47.33333333333334,66.66666666666666,60.309999999999995,1.38,12
creator_036,UK,English,Fitness,75.97,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,67.55555555555556,66.66666666666666,79.23,7.670000000000001,5
creator_037,Italy,Italian,Lifestyle,64.45,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,78.66666666666666,58.333333333333336,83.3,2.75,6
creator_038,Poland,Polish,Lifestyle,36.12,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,True,False,False,55.111111111111114,16.666666666666664,64.34,2.5700000000000003,10
creator_039,France,French,Food,48.7,Developing,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,True,False,False,69.11111111111111,16.666666666666664,74.65,1.5599999999999998,10
creator_040,Germany,German,Fashion,13.8,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,34.0,0.0,32.24,1.53,9
creator_041,Poland,Polish,Technology,42.32,Developing,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,49.333333333333336,50.0,75.94,3.64,12
creator_042,Spain,Spanish,Technology,33.07,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,61.77777777777778,25.0,52.82,2.04,16
creator_043,Italy,Italian,Fitness,30.32,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,10.0,16.666666666666664,44.529999999999994,0.5700000000000001,36
creator_044,Spain,Spanish,Lifestyle,19.65,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,40.888888888888886,0.0,55.67999999999999,0.86,17
creator_045,France,French,Fashion,75.17,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,58.66666666666667,75.0,78.45,5.029999999999999,6
creator_046,Poland,Polish,Food,68.52,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,90.22222222222224,25.0,75.51,7.6,2
creator_047,Poland,Polish,Fitness,24.02,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,12.0,0.0,46.85,0.83,36
creator_048,Germany,German,Fitness,39.1,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,52.0,41.66666666666667,69.04,3.68,9
creator_049,UK,English,Fashion,34.33,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,60.66666666666667,16.666666666666664,65.46,1.7500000000000002,6
