creator_id,market,language,category,followers,avg_views,engagement_rate,follower_growth_30d,videos_30d,campaign_participation_90d,response_rate,conversion_rate,last_active_days
creator_001,Italy,Italian,Lifestyle,37098,52735,0.0879,0.1947,27,4,0.8449,0.0171,1
creator_002,France,French,Fashion,98850,316721,0.122,0.1544,17,10,0.8445,0.0676,0
creator_003,UK,English,Lifestyle,5594,18216,0.0951,0.198,11,0,0.7134,0.0351,2
creator_004,Spain,Spanish,Food,40722,65661,0.0885,0.0279,16,3,0.8232,0.027,5
creator_005,Italy,Italian,Fashion,106327,131500,0.0932,0.0568,17,4,0.7754,0.0445,5
creator_006,Germany,German,Technology,187187,180989,0.0706,0.0509,10,5,0.7781,0.0116,6
creator_007,Netherlands,Dutch,Fashion,187467,180391,0.0528,0.0668,8,2,0.8198,0.0334,6
creator_008,UK,English,Technology,82990,48408,0.0291,-0.0351,2,1,0.2786,0.0052,44
creator_009,Germany,German,Food,112700,81252,0.0549,0.0897,10,5,0.6721,0.0317,1
creator_010,UK,English,Food,24653,45080,0.0562,0.0496,15,5,0.5631,0.0248,0
creator_011,UK,English,Lifestyle,183349,268065,0.0211,-0.05,8,0,0.6769,0.0265,15
creator_012,Spain,Spanish,Beauty,20989,100650,0.1009,0.1706,27,1,0.6157,0.0634,4
creator_013,Netherlands,Dutch,Food,174951,249896,0.0419,-0.0871,6,2,0.3197,0.0087,25
creator_014,UK,English,Beauty,17955,44201,0.1336,0.0582,23,4,0.621,0.0469,4
creator_015,UK,English,Technology,188844,123524,0.0461,0.0212,18,6,0.618,0.0366,7
creator_016,UK,English,Food,18650,81731,0.0961,0.0784,10,5,0.8214,0.026,0
creator_017,UK,English,Technology,354496,447246,0.0186,-0.0068,18,9,0.4215,0.0129,13
creator_018,UK,English,Fitness,13970,53143,0.1127,0.1904,29,5,0.9732,0.0169,3
creator_019,Spain,Spanish,Fashion,29931,64720,0.1129,0.0694,15,7,0.8027,0.0718,1
creator_020,Poland,Polish,Beauty,178955,252479,0.09,0.0736,9,7,0.8319,0.0117,7
creator_021,Poland,Polish,Fashion,203691,212556,0.0151,-0.0551,8,2,0.4115,0.0288,24
creator_022,France,French,Fashion,130662,545846,0.0332,0.0342,15,7,0.3286,0.0154,16
creator_023,France,French,Food,15500,40461,0.1381,0.0544,12,6,0.7832,0.0762,3
creator_024,UK,English,Technology,81503,163502,0.1152,0.1064,18,6,0.871,0.0354,4
creator_025,Italy,Italian,Lifestyle,494193,508932,0.0474,-0.0191,13,3,0.3366,0.0069,8
creator_026,Germany,German,Fashion,53434,155169,0.0928,0.132,27,7,0.8519,0.0792,0
creator_027,France,French,Beauty,246634,61682,0.089,-0.0656,0,2,0.5043,0.0083,40
